tweet;sentiment
@infobae Y fácil, como siempre échale la culpa a Macri y listo;-1
"@WalterLinovich Estamos perdiendo la batalla de los inhibidos, la puta madre! Que Domínguez se la juegue y le presente al árbitro la carta del ""contexto internacional"" o el ""culpa de macri"" así nos cobran algún penal";-1
@jo_han1985 Tengo con bullrich y jorge macri también sí, y?;1
@babyaetchecopar Si son lugar a dudas tenes https://t.co/NFcSsxXqil existiría la clase media.  No existiría la salud publica  ni la educación publica. Y como en EE.UU seríamos la sociedad más  desigual. Como te gusta a vos a Macri y a CAMBIEMOS y si sos afroamericano estas condenado...sigo.;-1
@agueroangel Osea que pena le tocaría a Macri por dejar hundir el ARA San juan por los británicos y chilenos ?? Prision perpetua acaso ?? Le cedieron la búsqueda a una empresa británica para la busqueda de nuestro submarino siendo que la marina sabía muy bien donde estaban los restos !!;-1
les pregunto a #radicales #jxc y demas...cual es el cientifico/medico que es creible para ustedes? tiene que decir Macri Genio? defenestran de un Nobell para abajo. ya ni los de TN creo se salvan. cual es su guia/faro?  Canisa, Guerra, Casero?;-1
@RAMIROMARRA Son tan ridiculas las dos discusiones. Alberto te corto el brazo derecho, ah pero Macri el izquierdo. Mientras tantos estamos sin brazos y sin piernas. A ver cuando nos damos cuenta de que nosotros cada vez somos mas pobres y miserables!!!!;-1
Edesur con MACRI NUNCA TANTOS CORTES!!!!!;1
"Sin luz, sin agua, con incendios x todos lados, con mas contagios que nunca, ah pero C5N habla del "" espionaje"" supuesto y el ""procesado"" Macri por la justicia K de impunidad. Asi tan hdp son";-1
@TOMASRGILL @mcvasca62 Ya que te interesan los dólares fugados ... Macri y sus secuaces son expertos: https://t.co/B8BFJxeFtp;0
"@jramospadilla Resulta que no che... Ni Cristina ni Néstor desendeudaron, ni Macri fue el peor... El peor es Alberto, y lo peor del país son los simios ""fieles"" a los ladrones";-1
@hamaxx1 @mcvasca62 Le buscaron cuentas secretas por todos lados y las únicas q aparecieron fueron las de Macri y sus secuaces;0
@C5N @Kicillofok Estamos cursando el tercer año, todavía siguen hablando de Macri, para que te pagamos?;-1
"@arielviano @mcvasca62 @luanavolnovich Macri y sus secuaces ya están presos?? .. seguro que mientras esto pasaba los globertos gritaban ""sí se puede"" https://t.co/B8BFJxeFtp";-1
@Ojo_Kritico No vendía churros con Macri 🙄🙄🙄 https://t.co/5hCTGAme0O;-1
"Macri felicita al Invap.
Qué raro, su periodista estrella y cómplice decía que los Arsat eran heladeras. Hasta Magnetto lo premió por sus mentiras.
Cuántas caras tiene esta gente?.
Nos toman por bo--dos?
Su electorado no despierta?";0
@artorias2112 @GabrielaVuelve @Danyroyson @Griseldnellyga1 @jramospadilla Perú es más importante que Macri espiaba a la hermana!!;0
@victorfyt No , Macri es un buen diplomático ,pero no tiene brazo fuerte p ser presidente, lamentablemente tuvo la oportunidad de aplastar al peronismo y no lo hizo;-1
@willykohan Aranguren fue elegido por él aún siendo criticado hasta antes de asumir, luego Macri siempre apoyó sus medidas, lo defendió lo que pudo dada la debilidad de su gobierno, bastante tenía con ataques externos, internos y mucho periodismo que no te veo nombrar, hay que informar todo.;-1
Era Macri!!! https://t.co/UsYEvwXTIk;-1
@SantiagoCainzos Le hizo más daño a la sociedad que Macri y Cristina unidos;-1
@mauriciomacri @innova_space Pero Macri ni un jardín de infantes inaguraste;-1
@clarincom La Vidal aprendió de Macri.;-1
"@GabrielaVuelve @artorias2112 @Danyroyson @Griseldnellyga1 @jramospadilla De verdad, entre tantas causas, lo que te interesa es el espionaje a la hermana de Macri? Se serio. Tenemos 62 mil desaparecidos desde el año 2011. La mayoría en gobiernos k
 De esos aparecieron 30 mil. O sea hay hoy 32 mil desaparecidos
. Esa sería una causa, ves?";1
@cardela @juanangelmeran1 Cuando el sol no se puede tapar con las manos ah pero Macri y ahora ah pero Duran Barba. 80 años de peronismo y 14 de K si ojalá nos quede algo del país porque se robaron todo y siguen por mas;-1
CRÍTICAS Y BURLAS A MACRI TRAS SU COMENTARIO SOBRE EL SATÉLITE ARGENTINO - https://t.co/XJZnthdKZs https://t.co/U8cg2DWwB1;-1
@kozedhu3 @ernestorr @Dariodeloscobos Debe ser como los teléfonos encriptados de la GestaPRO de Macri y Vidal.;0
@gmilman @alferdez EL ARSAT1 fue vendido por macri a clarin parece que  esta información no esta en el rincón del vago, pagina que usted es muy asiduo visitante;0
@_giannz @SilBeSo @igonzalezprieto Últimos 20 años 8200 % de inflación de los cuales el macrismo gobernó 4 pero el ganso sigue con el ah pero macri;0
@PatoBullrich @innova_space Que te enganchas, si udsni hicieron nada más todo lo contrario Macri vendió el otro;-1
"@paladarnegro10 Pero son capaces de decir: ""perdimos esta noche por culpa de Macri y la persecución política"". Y bla bla";-1
@clarincom la mafia de macri.filmada x el mismo https://t.co/kUt0cFHWRk;-1
@ditulliojuli daleeee Juliiiiiiiiii el ahhhh pero Macri mas estupido de la historia;-1
"@clarincom 3000% de aumento durante los cuatro años del forro de macri y solo planificaron la fuga de capitales.
#ChauEdesur
#ChauEdenor";-1
"@jramospadilla  Es nuestro siempre se la  recontra banca y nosotros también 
Macri va ir preso 
Y el 1er día!!
A quien le ganaron ? A Ramos Padilla? Ni en pedo";-1
Tuvimos a Macri, pelotudazos! https://t.co/v0Wfg5yVM4;-1
@Ariel78084792 @FernandoMarull Y quien dijo q macri lo hizo bien, imbécil. Las dos cosas están mal;-1
"Pese a quien le pese!!!
Era Macri!!! https://t.co/pLlN8nV3w0";1
"@HugoTanco @VivianaaFerrari Y si. Quien te dice lo contrario? Lo que agregue es que Macri no supo aprovechar la oportunidad y se convirtió en un Cover de peronismo 
Ahora esta divididos casi en partes iguales y ninguno consigue resultados para el país, solo a ellos les mejora la situcion
Háblame de eso";-1
@menena1982 @Vanesita_87 @ToroCabron_ @damian_macri Por diorrr las cosas que hay que leer Deberías estar en Europa a ver qué te pasa si no tenes el Green pass Y específicamente en Austria por ejemplo para pagar la multa de 4.000 euros, además de no poder ir a cines, restorant, teatro y transporte público.;-1
@fargosi Con macri cero hospitales;-1
@oskyvan10 @mariocollado13 @tintoric @PRossiOficial Jajaja aumento un 3000% 19 de noviembre te dice algo, si la energía es la misma la diferencia es q con macri todas las fabricas no trabajaban o funcionaban un 30%;0
@mariofr81296655 @LeinerLagos @Datoworld Con CFK , no mejoro nada , impulso los mecanismos de destruccion de la macroeconomia y consolido la estructura del pobrismo organizado ,fue un plan que dinamito la economia, lo de Macri fue por ineptitud y falta de coraje;-1
"@C5N @Kicillofok Este enano rusito me tiene los huevos llenos de tan meteculpa que es
Ahhhh...pero Vidal
Ahhhh..pero Macri
Es el peor Gobernador de la Provincia mas importante del pais, un inutil e inservible total";-1
"Cassasa cuenta todo de Macri Vidal y sus complices asociados...
https://t.co/ghzzL6WpTt";-1
@Italianoka Sos del grupo de los mitómanos, sería muy bueno que pienses en el País,  que se den cuenta que nos estamos hundiendo verdaderamente.  Es posible que Macri tenga deudas, como cualquiera de nosotros, quisiera saber las tuyas, a ver si estás en condiciones de tirar la 1er piedra.;-1
@sergiougazio Con Macri no había cortes,ni generadores en la calle,si vas a decir del corte del día del padre,afecto no sólo a Argentina,también Uruguay y Paraguay,cada vez que están estos hay cortes;-1
"@josepontte @brunorossiOK Macri macri.. estos dementes lo unico que saben hacer es cobrar sueldo.. 
Tienen una ciudad tomada por los narcos..";-1
@ArgLibre1967 @DieOligarKen @jlespert Me quedó recontra claro tu pensamiento, denunciás en las redes porque no trae consecuencias, pero no tenés una sola prueba que avale tu denuncia ni siquiera de una sola pensión trucha. Sos tan ingeniero como Macri.;-1
@eldestapeweb @robdnavarro Que el ajuste de lo haga al INÚTIL MACRI.;-1
@brunorossiOK @ale_picatto Volveee Macri, saca estos inutiles llorones!!!;1
@LANACION Dejen de romper con este tema, soy de PAMI y no me importa en lo absoluto dónde y con quién se fue de vacaciones, sin embargo me parece un escándalo lo de la Gestapo de Vidal, Macri veraneando con Rosenkrantz y Pepín en Uruguay;-1
@babyaetchecopar Alguien sabe x q CFK dejó la jubilación + alta d la región u$s 442? y Macri dejó la jubilación mínima en dólares un 54% menos? DEJATE D METER CIZAÑA. ESTO Q ESTÁS PREGUNTANDO AHORA LO TENDRIAS QUE HABER HECHO ANTES. ALGUIEN SABE DÓNDE SE FUGARON LOS U$S 44.000.000.000 DEL F.M.I.?;-1
@artorias2112 @Danyroyson @Griseldnellyga1 @jramospadilla @carlosfadel Claro que te lo explico: por faltas probatorias. Vos me podrías explicar x que sobreyeron a Macri una,semana después de ser presidente,  condenando al resto,x ejemplo por espiar a su propia hermana? Ahh seguro había alguien interesado en saber sobre la vida de su hna y su cuñado;-1
"@gsandleris 
Ella 12 años (RARO NO?)
Y SE ROBÓ QUE??
MACRI en 4 años 
2016 Rapidito se quizo licuar el correo pero la fiscal patriota lo descubrió y el cara dura 
Sin ponerse colorado nos dijo volvemos a FOJAS CERO no robamos nada aún 
Pero con la nuestra le pago a los buitres.";0
@miniinferno1 @AnaDeBsAs3 @constant_hevia @Desregulacion1 @DrCachufleta @Fcab110 Hubiese jurado que Pinedo,Larreta ..Martínez de hoz ..Macri ..alemán ..alsogaray .y tantos mas...llevan coqueteando por mucho más tiempo con el poder ..que los k y su breve disrupción temporal en el régimen solapado;-1
@OficialEdesur Si en 2012 reclamaban aumento tarifa. Lo tuvieron con Macri y que hicieron? NADA. Por favor dejen de tomarnos por idiotas;-1
@alfleuco ALFREDO, Hoy es sábado estarás al pedo, porque no te lees el fallo del juez Bava que hablaste mucho al pedo defendiendo a Macri, o desinformado o mentiroso ??;-1
@clarincom Dos años haciendo un carajo pero Macri …..déjate de Joder y deja a otro más capaz inepto . Increíble que este tipo sea gobernador . Solo en este país permitimos esto .;-1
@Clau_claudius8 Con Macri no se le cortó la luz, pero tan subnormales, falta de educación, de capacidad de razonamiento, es como le gusta a la Cristi y al sortee de Alverso.;-1
nunca pensé decir esto pero extraño a Macri;1
@Vanesita_87 @ToroCabron_ @damian_macri Cómo podés comparar una cosa con la otra ?!!... Esto es una PANDEMIA o no te enteraste ??!!... Por diorrr cuánta ignorancia... Los que no se vacunen que se contagien, lo merecen x egoístas, hay que pensar en el bien común... Y vamos a ver si cuentan el cuento.;-1
Kici, Macri fue el mejor presidente de la historia? https://t.co/Ymg12gyfob;1
"@Rosannassss @Stellataranto55 Entenderías al escuchar su reflexión final. Habla de su simpleza y ""austeridad"" y dice que la poligica argentina  los politicos tienen que aprender de él. ¿Lo dirá también por macri ? Digo no, porque lo dice ahora.";1
Cualquier semejanza entre las inversiones de Macri y la lluvia son pura coincidencia...;0
Papelón de Macri: felicitó el satélite y le recordaron su desfinanciamiento de la ciencia | vía @eldestapeweb https://t.co/WEd1MHAzIK;-1
Gracias C5N por recordarme que Macri está procesado por espiar a los familiares de las víctimas del hundimiento del ARA San Juan;1
"@mariocollado13 @tintoric @PRossiOficial Le cuento algo que no me va a creer, durante el gobierno de Macri no tuve cortes de luz en verano y el resto del año fueron dos o tres programados. 
Ud dice que lo hacen por ser amigos de... Yo estoy convencida que mientras está ""gente"" este jamás tendremos buen servicio de nada";0
@todonoticias Peligroso era Macri y su banda,eso si que era peligroso.;-1
No llueve, haga algo Macri.;0
"@mauriciomacri @innova_space VOLVÉ MACRI!!!!!
QUIERO LUZ";1
@edufeiok Cerra la Jetaaaaaaa Feiman payaso mediático mediocre de 👈👈👈👈👈cuarta Por q no ablas d los espionaje ilegal de Macri y lo q iso tu defendida Vidal Vamos ablen algo de eso caterbas de inútiles;-1
"@MarceloDelise @edufeiok No lo hacia porque los operadores estaban en los medios K, llorando × los jub,× los chicos, × el
 dólar a 600$,decían el país estalla! Y hoy con 50% de pobres,dólar 200, jub.29000$,sin luz, ni agua,ni trabajo, × bolud... que votan como vos estamos con éstas lacras...pero Macri !";-1
@clarincom Es la Corte que Armaron Ustedes con Macri!!! Mafia!!!;-1
La Universidad Publica le dio al país 5 premios Nobel. La privada nos dio a Macri;0
@gbasaluzzo @alferdez @Kicillofok Seguro ya  le preguntaron a Cristina. Deben estar esperando que les llegue la respuesta, ahí le preguntaran a alguien que les quiso decir la jefa. Luego, obviamente, nos explicarán,  porque la culpa es de Vidal y de Macri 🐈;-1
"Como siempre un burro sin remedio
Papelón de Macri: felicitó el satélite y le recordaron su desfinanciamiento de la ciencia | vía @eldestapeweb https://t.co/LLiZ1z3neT";-1
"EL PRESIDENTE DEBE LLAMAR A UN PLEBISCITO , Y PREGUNTARLE AL PUEBLO ARGNETINO SI QUIERE PAGAR CON AJUSTE LA DEUDA QUE DEJO MACRI O NO QUIERE PAGARLA 
EL AJUSTE NO ES UNA OPCION";1
"@GerardoMorales Che, @GerardoMorales, NO VAMOS A CAER EN LA TRAMPA, sabemos que sos un CAGADOR como todo los redicales.
Te recuerdo....

MACRI LO HIZO.

Forro!";-1
Uno puso que con Macri se cortaba menos la luz. https://t.co/laIkkAj5S2;0
@edufeiok Feiman por q no miras tu culo y dejas el culo ajeno??? Cuando Macri vivía de retiro espiritual Vos y las Catebas q te siguen no desian ni muuuu ahora cualquiera del equipo de Alberto sale Y vos ya subís una foto criticando Cerra la venta payaso mediático y cuida tu vida;-1
@MechiCOk @IsidoritoElRey Mientra sea ga Macri que vengan nomas;1
la oruga parece macri https://t.co/2SSdL5nG29;-1
@RecambioArg @DiosaMane @AlvarodLamadrid Jxc se tiene que depurar esta contaminado por topos k asi como se han sacado la mascara algunos legisladores que fueron elegidos por jxc Morales les hace el juego a los k este tipo no puede ser candidato por jxc Macri y Bullrich tienen que rescatar a jxc en las paso 23;-1
@MDSuarez @alferdez @OficialEdesur Estabilizar vas a Venezuela derecho. Seremos un gran Pami. Por favor, con Macri yo no tuve cortes. Con este mequetrefe cómo lo llamo la diputada kirchnerista ,este es el peor gobierno y con Cristina canta bingo otro desastre.;-1
@CarlosG02694796 El roba pero hacen,seguro esos medicamentos con Macri salian 0 pesos,no lo dirás pero así habrá sido.;-1
@Marcela97vega Cínica! Días sin luz. Muertos, Contagiados. 50% de pobres. 60% de inflación. Todo por este #GobiernoCriminalyCorrupto .vos sos cómplice! También te vacunaste en el VIP? Fuiste a fiestitas? Macri fue lo mejor que nos pasó en décadas. Andá al psiquiatra, cerebro lavado!!!!!;-1
@clarincom @SergioBerniArg y @Kicillofok estan de vacaciones y no estan para ocuparse de los problemas de la gente.... solo para decir ahh pero Macri, ah pero Vidal.;-1
@msilveyra1 @DiarioOle Claro, porque el piquete era contra el gobierno de Macri no?;-1
"@Syanez_ @luchopasman @OficialEdesur Si, lo incentivó Macri, pero fundiendo empresas...
Interesante técnica, es como que bajes el consumo en tu casa matando a uno de tus hijos. Todo un estadista!
Y cuando volvió en consumo habitual de electricidad, Edesur y Edenor no aguantan, es decir, ganancias y cero inversión. https://t.co/xXxdngTqQm";-1
@Juan28372311 @tintoric @PRossiOficial No digas pavadas, los cortes de luz vienen de de antes, nunca cesaron dejen de hechar la cual Macri hace 40 años que estan en el gobierno y no hacen un carajo para evolucionar, puros ladrones , acomodados vagos  con planes... por favor no hacen nada para evolucionardejen de joder;-1
"#GobiernoSinLuces!!!✌️
#Caballito
#Ahora
Resulta que voy a tomar un Chopp Stella Artois a mi bar favorito de Caballito y abre un mozo con una vela que me dice ""por culpa de Macri estamos sin luz...""
Un viejo pelotudo... https://t.co/WMuQvt3B2L";0
Un hombre clave del Gobierno cruzó a Bullrich por los cortes de luz - MDZ Online.. No sea tan papanatas Kogan están bien a la vista las inversiones en energía que se hicieron en el gobierno de Macri, que ustedes pararon para hacer populismo, hipócrita https://t.co/hCykOWvmAS;-1
Sabes lo que hubiera sido estos días de calor con Macri presidente? Gracias Alberto!;0
@pagina_siete Culpa de macri... 😉👌;0
"Mina de Río Turbio durante el Kirchnerismo: 
-3000 empleados, 3500 millones de presupuesto, actividad anual: 30 mil toneladas, beneficios: 0.
En el gobierno de Macri:
-2000 empleados, 1600 millones de presupuesto, producción anual: 360 mil toneladas, beneficios: USD 12 millones.";1
@PatoBullrich @innova_space lo mismo que desfinancio Macri;1
@infobae Iba Macri en ese vuelo?;0
Que fastidió q tengo , q vuelva el agua y la luz la concha de puta de la mamá de Macri;-1
#Edesur esta logrando q la gente se olvide la politica energetica de mierda de macri con mega subas dalirantes q no lograron nada.... por q la de estos inutiles nisiquiera es politica. Te dejan a la deriva y ya.;-1
@Hombre__Manzana Tengo la teoría (cada vez menos) rebuscada de que el objetivo Tinchi es romper todo de forma sutil, y esta siendo bancado por fuerzas externas que estan hasta la pija de Argentina. Y que el prestamo inviable del FMI a Macri fue parte del plan.;-1
@rodotailhade @gracielaocana La oposicion que mire lo que hacen sus ladrones favorito :Macri, Vidal ect ect ect.....;-1
"Macri y su olvido de acciones negativas en 2015 - 2019
https://t.co/3bfr5BjqnR";-1
@edufeiok Mauricio Macri / Ma. Eugenia Vidal / Oscar Aguad / Patricia Bullrich / los + HDRPMQLP, asesinos, transeros, ladrones y estafadores. 44 COMPAÑEROS MUERTOS HÉROES OLVIDADOS POR ESE CLAN MAFIOSO;-1
"@tintoric @PRossiOficial LAS DOS EMPRESAS AMIGOS DE MACRI SE JUNTARON CON MACRI.
Y LE DIO A CAPUTO EDE SUR 95 MILLONES DE GANANCIAS, Y AL DUEÑO DE EDENOR 120 MILLONES.";-1
"@JavierFN72 Son los que le ponen $ a su provincia.
Es un pequeño Macri de décima";-1
@Carloslanus79 @edufeiok A pero Macri o Vidal o Larreta o el que sea. Estos kirchneristas no tienen la culpa de nada. Para que asumieron? No era que tenian la solucion? Tan idiotas pueden ser que los recagan y los defienden. Inentendible.;0
@Marcelo_Allan_ @horaciorlarreta Yo me pregunto, que piensa Mauricio Macri de la Plandemia y de la agenda 2030 de la que hablo Albertitere..... que habría hecho el?  no se, no saberlo me da esperanza pero su silencio solo me confirma que estamos solos....;-1
@LeinerLagos @roberto13258375 @Datoworld volvio con macri por culpa de cristina;-1
Bullrich, Arietto, Wolf, Milei, Espert, Macri, Lopez Murphy, Iglesias, Carrió, Testaz, Paula Olivetto, Carolina Piparo, Luis Juez, y un par mas...Los quiero a todos en el 2023.;1
@saintrupe @luchopasman @OficialEdesur Igual disculpa que te diga pero el que incentivo a que haya una baja de consumo fue macri.. https://t.co/nks2jreAar;1
@caidodelcatre2 Imbecil nunca nos cortaron la luz c Macri 4 años gloriosos llegaron los mecheros y no solo no bajaron las tarifas y no tenemos@luz imbecil;-1
@BonelliOK Pídanle perdón a Macri... y una patada en el culo a Cristina que se reía cuando pedíamos consumir energía moderadamente.;0
