tweet;sentiment
Link descarga de cuadernillo sobre alimentación saludable desarrollado por la UTT, UBA y Conicet. #SoberaníaAlimentaria https://t.co/7ZzUTnuA9V;1
@hartadezurdos Averiguá en la Facultad de Medicina de la UBA. También atienden gratis.;1
Quiero ser niño de nuevo! 🤕;-1
¿Cómo es posible que habiendo tan buenos economistas del campo nacional y popular en la UBA den clases tipos que promueven el neoliberalismo y militan abiertamente en redes por el PRO mintiendo descaradamente sobre su gestión, con todo el riesgo que eso conlleva para la sociedad?;-1
Leer como nos está cargando el payaso, es muy desalentador… 🥺🥺🥺;-1
"@s_mosquera_ No sólo no bajaron; se incrementaron. Increíble tener dando clases en la UBA a gente que apaña a delincuentes.";-1
"Haciendo trabajo de inteligencia súper secreto encontré la página de Álgebra I del primer cuatrimestre de 2010, cuando a alguien le pintó ponerle mucha... creatividad al diseño.
https://t.co/gfkzVvNg6j
Disfruten.";1
A mí no me gusta usar esos terminos de progre tipo ghosteado pero me la viven aplicando no hay caso che voy a empezar a dar cursos de RESPONSABILIDAD AFECTIVA en la UBA;0
"@CAMBIEMOS1964S @fmlidermdq colegas de ella, conocidos, y ahora es la única despierta, los demás viven con bozal, todos han estudiado en la UBA.
Hoy nadie razona que esto es un desastre, y lo se por mi hija, viven aterrados.
Hay un colega desde hace 6 meses como un vegetal👇";-1
"@salitomolina Medicina uba
Ojo con la profe de biología celular cate 3";0
Se supone que hoy uba va ser noche de lectura y me olvidé de poner a cargar el Kindle https://t.co/hvMMPmKbGh;0
"Hasta que el sol se apague
Sigo buscando el tesoro y la llave
Vuelvo con oro pa' mi' familiare' en Facultad de Derecho, UBA https://t.co/vQpnS5HXz4";1
@PauloBaudouin Cs, Pol. en UBA una maestría San Andrés;1
A pesar de no tener nada éramos felices y el para mí yo para el no todo el mundo se queda a  alguien que está en silla de ruedas se dedicó cada minuto a esta pendiente Ami salud se olvidó de el y tenemos compromiso con Dios y nunca voy a defraudar mi suegro mi padre mis hijos y uba;1
👩‍⚕️🐶 Nuestra campaña satélite sigue trabajando por la fauna urbana de Toctiuco. Hoy, nuestros médicos veterinarios atendieron a decenas de animalitos en situación vulnerable. #YoAmoQuito https://t.co/SbM1TZ13gD;1
"Materia N° 33.
La última.
#FSOC @ubasociales #UBA @ccomUBA #Comunicacion 
¡Vamos! 💪💪💪💪💪 https://t.co/wOWsI4ophC";1
@atiendekukas @SergioVritz @Politica_ln En el equipo de cátedra de la UBA hemos discutido bastante el tema, somos una cuadra de alrededor de 10 integrantes todos licenciados en educación con experiencias en CABA y PBA, y + allá de nuestras posturas políticas personales xq nos importa la educación.;1
"Hubo una época en la que ser profesor titular de la UBA era prestigioso, y  ser Investigador de CONICET daba mas prestigio social.
Soy profesor titular plenario de la UBA e Investigador Superior del CONICET ( lic. Phd. Etc.)
Ahora lo usan para pretender descalificar mis opiniones";0
¿Acuña? De Ciencia Política (UBA). La fiscalía descansa.;0
Hola ! Buscanos en instagram miasesorimpositivocontable o envianos mail miasesorimpositivocontable@gmail.com . Contador publico Uba especialista en prevención de lavado y Moneda Digital;1
HOY TOSI UNA SOLA VEZ DESDE Q DESPERTÉ;1
Ajahsjajajs dios me acuerdo cuando chamuye con un taurino q habia hecho 1 cuatrimestre de psicología y 1 año de derecho en la UBA era la persona más insoportable del planeta porque creía saberlo TODO https://t.co/j81P07YWKz;-1
"Mi hijo aprendiendo, desde su casa. El mismo año se pasó de un técnico a un comercial porque quiere empezar la Facu antes, rindió 9 equivalencias y metió 3 materias del CBC por UBA XXI.
";1
"📣CAPACITACIÓN UNIVERSITARIA 📷 Foto-Reportaje Documental Subjetivo🔴
 
Inicia el 28 de Marzo
✍¡Inscribite acá! https://t.co/FE2M9uPPKQ
ℹ Para más información entrá en https://t.co/LSHtL6XIAU
 
#fotografia #foto #reportaje #camara #subjetivo #capacitacion #universitaria https://t.co/4syUzZgSTM";1
@lonelylev igual no la tiene la uba Cague;-1
@_CriminalMambo_ Acuña es de Cs. Políticas de la UBA. Plop.;0
"#Curso #presencial El oficio del actor. 4 Encuentros con el juego y la escena. Se propone, a partir de una dinámica lúdica, un intenso y profundo acercamiento al mundo expresivo de la #actuación. 

💻 Inscripción online: https://t.co/RVCjtlOBGW https://t.co/6WjN7FOlox";1
@Gustavo32643386 Vivo en Palermo. Mi vecina siempre mandó a su hija (de la misma edad que mi hija) a privados desde jardín. Llegó la época de la facu, y ahí no siguió. A mi hija, desde jardín que fue siempre a escuela pública, secundaria en el Pellegrini y diploma de honor en UBA. Sigue…;1
cada día extraño mas el au de la uba y la uade;1
El resentimiento que genera la UBA literal nadie puede estudiar en otra institución académica que siempre se acuerdan de la UBA es el Boca de las universidades https://t.co/3B2VmkvZY6;0
@Pao03r @RMunicipalFM Buenas tardes, por favor envíenos por interno su número de contacto para que uno de nuestros inspectores se comunique con usted.;1
"“El premio del caminante es uno sólo: las huellas que va dejando en el camino.” 
Y como dijo una andando ellos detrás sin domicilio como piedra de tropiezo y que la familia de Melvin José Ventura Rodríguez no tiene nada que buscar detrás de mi a esta hora";1
@therealbuni La panelista/modelo recién salida de la carrera de comunicación de la Uba estaba a punto de explicarle a un verdulero con 40 años de experiencia como tiene que manejar su negocio 👌;1
"@Conanbatt @Rodrigo98RRII @sozita_LST ¿? Por que el 80% de la gente que fue a la UBA cobraría menos que un camionero sin secundario?
De donde sacan los datos ustedes???";-1
"🔊 CAPACITACIÓN UNIVERSITARIA 🎻 Prácticas y Poéticas de la Judeidad Argentina

Inicia el 4 de Abril
✍¡Inscribite acá! https://t.co/FE2M9uPPKQ

ℹ Para más información entrá en nuestra web https://t.co/LSHtL6XIAU

#capacitacion #filouba #universitaria #virtual #Judeidad #idish https://t.co/AKnnxKwY0I";1
"@t0st4ky @Rodrigo98RRII @sozita_LST Capaz el 80% de l gente que fue a la uba cobra menos que un camionero sin secundario. Pero vos decis que sirve, se arregla facil; que cobre la uba y la gente gustosa lo va a pagar.";0
@Marce_blablabla Como olvidar las bombachas cagadas, el promedio excelente en la uba, y tantos logros de tiktok 😂;0
"Te dicen #NuncaEsTarde los que tienen 53 años,2 nietos y siguen cursando ""sociología"" en la UBA desde que tienen 18 ✌️";0
