tweet;sentiment
"“Néstor no pagó” pero hasta quienes impulsaron esa estrategia en 2003 con el FMI reaccionan con espanto a la idea de que   lo imite…en mi nota por qué 
Por qué   Fernández no puede repetir lo que hizo Néstor   cuando no le pagó al FMI https://t.co/VXlOBbSjgK";1
Buenos días a todos menos a   Fernández que en su paso x Bahamas fue a abrir una cuenta bancaria barrani;-1
"  Fernández, en relación al acuerdo con el FMI: ""Tenemos derecho a crecer como queremos"" - Expreso News https://t.co/HqJkiWmYNm";1
"El gobierno de   Fernández es uno de los menos confiables de los últimos años
https://t.co/RXA9YtJcsF";-1
@raultimerman Me parece que te quedaste en el tiempo. Estamos en el 2022, y el que gobierna es   Fernández,   se fué derrotado hace 2 años.;-1
"En un encuentro llevado a cabo en la Casa de Gobierno y calificado como “excelente” por el flamante embajador Mar Stanley, el Presidente, acompañado por Juan Manzur y Santiago C iero, destacó el fortalecimiento entre ambos países.

https://t.co/iZuZ6bQan0";1
La confianza en el gobierno de   Fernández, 22% menor a cuando   terminó su mandato https://t.co/JdrLHiHQ07;1
#Ahora | El Censo Nacional será el próximo 18 de mayo: el presidente   Fernández estableció ese día para el relevamiento de la población. Además decretó que sea feriado. https://t.co/6Mqj4t4iTL;1
"""Sin educación no hay futuro, sin conocimiento no hay riqueza y sin desarrollo de la ciencia y la tecnología nos quedamos atrapados en el pasado"".
🗣 El presidente   Fernández en el lanzamiento de la Campaña Nacional de Vacunación para la presencialidad segura en escuelas. https://t.co/XyXZnuz4wi";1
"  Fernández pidió que el organismo contemple el ""derecho a crecer como nosotros queremos crecer""

https://t.co/Fk7BJBHE9T";1
  Fernández suma una escala oficial en Barbados a su regreso de Rusia y   https://t.co/EP8d5a4e6p;1
El presidente   Fernández mantendrá un encuentro bilateral con su par de Rusia, Vladimir Putin, el próximo 3 de febrero en la ciudad de Moscú, previo a su desembarco en  , previsto para el 5 de febrero https://t.co/7q72zhe3al;1
"@Lassie82640452 @juancasietetres     liberó 11 mil presos en 2020.
Son Los que azotan GBA todos Los días";-1
"Dios los chilenos se deben querer matar, su presidente un menos de tiempo ya superó al vicepresidente   Fernández...👇👇🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
Esta en las cosas súper importantes de su Chile.... https://t.co/KB65JHkQTO";-1
Los ajustes a los jubilados desde el comienzo del gobierno de @alferdez 👇👇👇👇 https://t.co/eTGf1pgnsC;-1
"@jaritz54 Ja ja 
Es un chiste?
    no puede marcarle la cancha de bochas.
Que de pavadas que escriben.";-1
"Gira de   Fernández: 
se conocieron detalles de
 las bilaterales y suma 
nueva escala
 https://t.co/K1xcMDSU1e a través de @Ambitocom";1
@drjorgerachid Se podría decir exactamente lo mismo de   Fernández o Massa;1
"#GobiernoDeInutiles 
#ElPeorGobiernoDeLaHistoria 

Por qué   Fernández no puede repetir lo que hizo Néstor   cuando no le pagó al FMI para forzar un acuerdo https://t.co/cLtYqwSrG9";-1
De donde mierda salieron los meteorologos???? Mira que acierta mas     que estos ñemucos;-1
#educacion El presidente   Fernández aseguró que “la prioridad es que este año haya escolaridad y presencialidad para todas y todos los jóvenes argentinos”, al encabezar el lanzamiento de la campaña nacional “Nos vacunamos para ir a la escuela”. https://t.co/RDx7mNKvhp;1
@PERIODlSTAPERON Tambien tenes esta de unos dias antes. Que finalmente se hizo realidad unos 60.000 muertos despues.  https://t.co/tWJwkCtRHV;-1
En medio de rumores, Manzur se mostró junto a   Fernández en un acto https://t.co/imATvLV6du;1
  Fernández lanza la campaña nacional de vacunación para la presencialidad plena en las escuelas https://t.co/cSh4EgQSY8;1
Con la firma de   Fernández, el Decreto 42/2022 determinó que el Censo Nacional de Población, Hogares y Viviendas Ronda 2020 se realizará en menos de cuatro meses: el miércoles 18 de mayo. Como está previsto en las leyes, el decreto declaró esa fecha feriado nacional.;1
Si vuelve el fútbol gratis vuelvo a votar a   Fernández https://t.co/hl3xsWKeqi;1
"  Fernández lanzó la campaña de vacunación para el sector educativo: ""Queremos que todos vuelvan al colegio"" https://t.co/m2n1Ylg2rb https://t.co/i4KJCzJv8L";1
@Mo48919234 Si eso dijo   Fernández y Gerardo Romano Dos nefastos y fulmine;-1
