tweet;sentiment
"@J  Si diciendo esa boludez llegó a profe del MIT habla muy mal de tan distinguido Instituto.   dijo que ""el océano es grande y el submarino es chico"" y no da clase en ningún lado. Injusticia total.";-1
@DaroNieto Transparencia, jajaja. En lugar de poner tablitas dibujadas por qué no contás hechos reales cómo éste por ej., y de cómo   y el comprado Basalvilbaso le dieron nuestro Fondo de Garantía de Sustentabilidad a Clarín, Cablevisión 🤔 https://t.co/TZcJUjeMgO;-1
El caso   https://t.co/V3slDL9GTf;-1
@Soledad_Acunia @gcba Y por q no impulsan abrir mas escuelas q ni   ni larrata construyeron ni una sola escuela o alimentar bien a los chicos no la basura con la q los alimentan;-1
@Ojo_Kritico   tiene muchas mas posibilidades que  . Especialmente cuando salgan a la luz todos los problemas asociados a las medidas tomadas este mandato. Va a quedar pegado.;-1
  una vez fue a Rusia a querer venderle un mazo de cartas a los gitanos !!! https://t.co/heERKkDeWx;-1
@LeoManjak @antoniogiangro5 @DanielSabsay1 Yo dudo hasta que sea Constitucionalista, porque las estupideces que le he escuchado decir, tienen el mismo valor que las opiniones de   como ingeniero...;-1
Mi bronca es la siguiente. Cuando El Toto ganó todo era la falopa. Cuando Bianchi ganaba todo era   , la plata que compraba copas y Grondona y los árbitros. Hoy, llorando con River todo el tiempo avalan todo esto. Si son tan hinchas dejen de desprestigiar nuestros logros.;-1
@ladrondestino01 No entiendo de qué se quejan de  . Estos son un asco!;-1
💬   Caamaño, interventora de la Agencia Federal de Inteligencia: “El gobierno de Mauricio   hizo todo tipo de ilegalidades, no hay una respuesta legal para lo que vemos” ➡️ https://t.co/u29fhMBueO https://t.co/h8KzP6SBoI;1
@AlertaNews24 Una vez pasó lo mismo cuando gobernaba   en Argentinistan, dejó como a tres países sin luz.;-1
"@domingo_argie ""Ah pero  "" on fire, jaja.";-1
"@emandeb @SergioChouza @clarincom Ahá. Bueno...
Entonces los empresarios estaban contentos con   en 2019, y enojados con   en 2015?
Conoces la metodología empleada, para criticarla?
Tenés idea de algo, o hablas sólo como  ista?";-1
@GabyLevinas Pero la cta se la encontraron a   gsby¡;-1
@robdnavarro El mafia   los representa 100 % x evador, fugador, contrabandista, negrero etc;-1
@eldestapeweb @EdgardoMocca FUERA LA CORTE PUESTA A DEDO X  , SON RAMIFICACIONES DE LA MAFIA;-1
@C5N @Gregoriodalbon @julianguarino El gobierno de   no ASESINO A UN FISCAL KaKaKa;-1
@emanueletchart @Trumperizar   fue lo mejor que les pasó;1
De no ser por el no podrían justificar la incompetencia K;1
La lechuga está $800 el kilo y no veo a nadie por los medios rasgándose las vestiduras como en la gestión  .;-1
"@alferdez En plena negociación, Carlos Zannini reclamó a la Justicia que cite a los directivos del FMI que le dieron el crédito al gobierno de  
   GRAN PARTE DE LA DEUDA QUE TOMO FUE PARA PAGAR LA DEUDA Y CORRUPCION DEL GOBIERNO DE LA LADRONA ARGENTINA O SEA  ";-1
Este Sr Leuco nos vendía a Lavagna como opción. Limando  cada día a   durante su gobierno .Tarde pio !!! https://t.co/L1zjiBvSoH;-1
@monoypoesia @NcuatroCHO @slayingf4gs @malepichot No como con  . La fuga es un problema estructural pero   lo recontra agravó con políticas concretas. Pero si querés podés seguir poniendo excusas.;-1
puse a baby y lo 1ro que escucho es un ah, pero  !;-1
@jramospadilla ¡¡¡Muy bien compañero...!!!;1
Lo que de dice UN VERDADERO MERCENARIO, que cobra por sus favores de juez del mejor postor... Pero no pudiste trabajar para el Presidente  , que te despreció como a la rata  ista que sos. Y sí. Esta basura es un convocantes contra la Corte;-1
Quién te crió de chico, Frankestain, para que admires a la  ,  ,   y demás monstruos?;-1
Yo seguro que lo voto.;1
"Ideológicamente estoy con   y   pero   no me gusta como persona. Mucho hacer pinta y dársela de ""décontractée"". Para eso tenemos la farándula. https://t.co/zaP6WXJCke";-1
@clarincom La percepción de quien???? Más corrupción q   imposible;-1
"NADIE SABE ESTO!!
Los medios periodistas-basura NO lo van a decir!!
La militancia casaxcasa cara-cara desclarinizando al pueblo Ignorante....NO existe!, con su silencio e inacción trabaja para mañeto  !!
Solo una Secretaria de Información lo haría!! https://t.co/JKwwbXwcWN";-1
El último golazo de Maradona fue gritar en cámara NO SABE LEER (refiriéndose a  );1
NO SABE LEER;-1
"¡¡  NO DEJO DEUDAS CON EL FMI!!
NADA, CERO DEUDA CON EL FMI.";1
FUE EL Anti Argentino y ESTAFADOR MAURICIO   Y SUS MINISTROS CORRUPTOS LO QUE VOLVIERON A ENDEUDAR LA PATRIA https://t.co/QIwB5UkXzs;-1
Clarín contrató a Basalvilbaso, el exdirector de ANSES de   que le dio US$ 10 millones a Magnetto | vía @eldestapeweb https://t.co/F4IxuZmLt5;1
"@epcamarasa @lordmerval1 @Gatosylvestre La que tomó   fue a pagar la que dejó la PROSESADA, pero la que tomó Albertitere (u$s 77.000 millones) a dónde fue????
También a la cuenta de la PROSESADA?";-1
@marcalpalazzolo No puedo extrañar nada del gobierno del delincuente de  .Todo fue un desastre;-1
