tweet;sentiment;;;;;;;;;;;;;;;;;;;;;;;;
???? ¡Ayúdame a volver a casa! Mi tutor apreciará cualquier información que poseas. #PorUnQuitoDigno https://t.co/IxGe3TdU3E;1;;;;;;;;;;;;;;;;;;;;;;;;
@UBA_Quito @amcquito Es que por donde lo veas #Urkupamba representa crecimiento, vanguardia empleos! @caro_vr no entiendo porque tantas trabas  @santiguarderas #Quito  @LuisRoblesRC5 https://t.co/L6DmN8nziN;1;;;;;;;;;;;;;;;;;;;;;;;;
?? ¿Cómo es estudiar Ciencias Geológicas en Exactas? Te contamos de qué trata esta carrera: https://t.co/mheFjfRtMw;1;;;;;;;;;;;;;;;;;;;;;;;;
@jisung7u7 ERES UNA MANIPULADORA !???;-1;;;;;;;;;;;;;;;;;;;;;;;;
@ValeriaaaaaL Estas haciendo alguna materia del CBC/UBA XXI?;1;;;;;;;;;;;;;;;;;;;;;;;;
@SperoniIris Iris si el tipo siemdo presidente daba clases en la uba no udiendolomhacer que esperabas;-1;;;;;;;;;;;;;;;;;;;;;;;;
"@MoniChuch @ASiames La UBA y sus requisitos. Me piden que envíe el título ya legalizado para que ""su sistema"" verifique la legalización ??????";-1;;;;;;;;;;;;;;;;;;;;;;;;
@ASiames @adcc1984 La uba para darte el título, te pide el analítico del secundario...ese que ya presentaste para inscribirte en el CBC...nada tiene sentido chicas;-1;;;;;;;;;;;;;;;;;;;;;;;;
@RonMuscular justo te iba a invitar a tomar cafecito;1;;;;;;;;;;;;;;;;;;;;;;;;
"@mruminahui @UBA_Quito su ayuda estos animalitos son parte de la comunidad de los Terracota y quisieramos conocer porque el Municipio de Ruminahui ha dado una semana para buscarles un hogar.Son parte de nuestro vivir y queremos que sigan aquí.
https://t.co/LQzf8KMb4L https://t.co/wrKHiuZrfT";-1;;;;;;;;;;;;;;;;;;;;;;;;
"@AxlRod6 @Luchodimeglio @arielvilacha Es lo que dije desde el inicio. El jugador elige donde jugar. River igualó la oferta y le mejoro el contrato al jugador. Ademas, donde vas a estar mejor en Argentina, q en River? Es uba pregunta obvia.

Pero desde anoche todo el periodismo y todas las putas lloran, uds incluidos.";-1;;;;;;;;;;;;;;;;;;;;;;;;
El profe menos basado de la uba: https://t.co/aC67ipFamx;1;;;;;;;;;;;;;;;;;;;;;;;;
"@JnCrzFrnndz Hasta ahora no se de que universidad estan hablando los que dicen que no hay jabon y no sale agua en los baños.
Debe ser alguna sede centenaria de la UBA.";-1;;;;;;;;;;;;;;;;;;;;;;;;
"@hartadezurdos @BastaPosta @Tamara49293282 Hola Harta!!! 
Q bueno q los hayas podido recuperar!!! ????????
Viste q hay q pensar en positivo?
Para negativo ya ganamos en pesos...
Ojalá q encuentres un buen profesional.
Sino acordate de la UBA, de la Facultad de Odontología";-1;;;;;;;;;;;;;;;;;;;;;;;;
me arranqyu una uña :v;-1;;;;;;;;;;;;;;;;;;;;;;;;
"??En San Roque, encontramos 6 cachorros ?? abandonados y los trasladamos a la Clínica Veterinaria Municipal de @UBA_Quito para su revisión y posterior adopción.
No abandones a los ???? animales de compañía, ellos necesitan de tu cuidado y protección. Somos #AgentesDeQuito??????? https://t.co/xier8beRa6";1;;;;;;;;;;;;;;;;;;;;;;;;
En Exactas de la UBA se implementó el pase sanitario. Si no estás vacunado te van a pedir Pcr todas las semanas, lo q haría oneroso ir a la facultad y haría q el círculo se cierre cada vez más sobre los pelotudos q no se vacunan. Lo festejamos.;-1;;;;;;;;;;;;;;;;;;;;;;;;
Que alguien se vaya a fijar si no se robaron la Facultad de Derecho de la UBA y se la llevaron a Kazajistán, Kirguistán o Uzbekistán https://t.co/fWxcW7KB3n;-1;;;;;;;;;;;;;;;;;;;;;;;;
