,0
0,"“Néstor no pagó” pero hasta quienes impulsaron esa estrategia en 2003 con el FMI reaccionan con espanto a la idea de que Alberto lo imite…en mi nota por qué 
Por qué Alberto Fernández no puede repetir lo que hizo Néstor Kirchner cuando no le pagó al FMI https://t.co/VXlOBbSjgK"
1,Buenos días a todos menos a Alberto Fernández que en su paso x Bahamas fue a abrir una cuenta bancaria barrani
2,"Alberto Fernández, en relación al acuerdo con el FMI: ""Tenemos derecho a crecer como queremos"" - Expreso News https://t.co/HqJkiWmYNm"
3,"El gobierno de Alberto Fernández es uno de los menos confiables de los últimos años
https://t.co/RXA9YtJcsF"
4,"@raultimerman Me parece que te quedaste en el tiempo. Estamos en el 2022, y el que gobierna es Alberto Fernández, Macri se fué derrotado hace 2 años."
5,"En un encuentro llevado a cabo en la Casa de Gobierno y calificado como “excelente” por el flamante embajador Mar Stanley, el Presidente, acompañado por Juan Manzur y Santiago Cafiero, destacó el fortalecimiento entre ambos países.

https://t.co/iZuZ6bQan0"
6,"La confianza en el gobierno de Alberto Fernández, 22% menor a cuando Macri terminó su mandato https://t.co/JdrLHiHQ07"
7,#Ahora | El Censo Nacional será el próximo 18 de mayo: el presidente Alberto Fernández estableció ese día para el relevamiento de la población. Además decretó que sea feriado. https://t.co/6Mqj4t4iTL
8,"""Sin educación no hay futuro, sin conocimiento no hay riqueza y sin desarrollo de la ciencia y la tecnología nos quedamos atrapados en el pasado"".
🗣 El presidente Alberto Fernández en el lanzamiento de la Campaña Nacional de Vacunación para la presencialidad segura en escuelas. https://t.co/XyXZnuz4wi"
9,"Alberto Fernández pidió que el organismo contemple el ""derecho a crecer como nosotros queremos crecer""

https://t.co/Fk7BJBHE9T"
10,Alberto Fernández suma una escala oficial en Barbados a su regreso de Rusia y China https://t.co/EP8d5a4e6p
11,"El presidente Alberto Fernández mantendrá un encuentro bilateral con su par de Rusia, Vladimir Putin, el próximo 3 de febrero en la ciudad de Moscú, previo a su desembarco en China, previsto para el 5 de febrero https://t.co/7q72zhe3al"
12,"@Lassie82640452 @juancasietetres Alberto Fernandez liberó 11 mil presos en 2020.
Son Los que azotan GBA todos Los días"
13,"Dios los chilenos se deben querer hacer un seppuku, su presidente un menos de tiempo ya superó al vicepresidente Alberto Fernández...👇👇🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️
Esta en las cosas súper importantes de su Chile.... https://t.co/KB65JHkQTO"
14,"ALBERTO FERNÁNDEZ: ""Cuando los ajustes llegaron, nuestro pueblo padeció” https://t.co/JhI4CetPiD
Los ajustes a los jubilados desde el comienzo del gobierno de @alferdez 👇👇👇👇 https://t.co/eTGf1pgnsC"
15,"@jaritz54 Ja ja 
Es un chiste?
Alberto Fernandez no puede marcarle la cancha de bochas.
Que de pavadas que escriben."
16,"Gira de Alberto Fernández: 
se conocieron detalles de
 las bilaterales y suma 
nueva escala
 https://t.co/K1xcMDSU1e a través de @Ambitocom"
17,@drjorgerachid Se podría decir exactamente lo mismo de Alberto Fernández o Massa
18,"#GobiernoDeInutiles 
#ElPeorGobiernoDeLaHistoria 

Por qué Alberto Fernández no puede repetir lo que hizo Néstor Kirchner cuando no le pagó al FMI para forzar un acuerdo https://t.co/cLtYqwSrG9"
19,De donde mierda salieron los meteorologos???? Mira que acierta mas Alberto Fernandez que estos ñemucos
20,"#educacion El presidente Alberto Fernández aseguró que “la prioridad es que este año haya escolaridad y presencialidad para todas y todos los jóvenes argentinos”, al encabezar el lanzamiento de la campaña nacional “Nos vacunamos para ir a la escuela”. https://t.co/RDx7mNKvhp"
21,@PERIODlSTAPERON Tambien tenes esta de unos dias antes. Que finalmente se hizo realidad unos 60.000 muertos despues.  https://t.co/tWJwkCtRHV
22,"En medio de rumores, Manzur se mostró junto a Alberto Fernández en un acto https://t.co/imATvLV6du"
23,Alberto Fernández lanza la campaña nacional de vacunación para la presencialidad plena en las escuelas https://t.co/cSh4EgQSY8
24,"Con la firma de Alberto Fernández, el Decreto 42/2022 determinó que el Censo Nacional de Población, Hogares y Viviendas Ronda 2020 se realizará en menos de cuatro meses: el miércoles 18 de mayo. Como está previsto en las leyes, el decreto declaró esa fecha feriado nacional."
25,Si vuelve el fútbol gratis vuelvo a votar a Alberto Fernández https://t.co/hl3xsWKeqi
26,"Alberto Fernández lanzó la campaña de vacunación para el sector educativo: ""Queremos que todos vuelvan al colegio"" https://t.co/m2n1Ylg2rb https://t.co/i4KJCzJv8L"
27,@Mo48919234 Si eso dijo Alberto Fernández y Gerardo Romano Dos nefastos y fulmine
28,"ALBERTO FERNANDEZ  Y GABRIELA CERUTI . . .
lo primero es la amistad sincera del kisnerismo.
Un ejemplo ! !! https://t.co/Ko1rYTF8Dd"
29,"Lo felicito. No se olvide de mencionar que el 80 % de los Argentinos son Pobres. 
Que hace dos años que Gobierna Alberto Fernández. 
Fracasaron. Háganse cargo.
Sería un acto de osadía.
Espero que este a la altura de las circunstancias. Gracias. https://t.co/Z5x4aJI0eu"
30,"#Politica 

Con Alberto Fernández a la cabeza, lanzan un nuevo plan de vacunación. Buscan integrarlo con el cronograma del calendario obligatorio.

✍ Por: @pablowino 

https://t.co/Jg1e0h3vDD"
31,"Alberto Fernández estamos festejando, somos la envidia del mundo: https://t.co/SmClXx6pcD"
32,El jefe de Estado mantendrá encuentros bilaterales con los mandatarios de Rusia y China. https://t.co/BzUrWcK2El
33,"""Alberto Fernandez"" BARBADOS ES PARAISO FISCAL"
34,"Alberto Fernández reconoció la deserción escolar en la pandemia: “Necesitamos que los chicos vuelvan al colegio”
https://t.co/fX5wGWgP73"
35,Gesto de Alberto Fernández a EEUU: recibió al nuevo embajador que le entregó sus cartas credenciales https://t.co/BR15ZSLZFb
36,"@victorpenacca @jlespert No soy macrista ni radical, pero enserio no podés ver cómo Alberto Fernández está destruyendo toda la economia, de una forma mucho más fuerte que Macri. 
Dólar a 220, pobreza del 50%, deuda (hecha por Alberto Fernández) de más de 40 mil millones de dólares"
37,"@Cronistacom Jajajajaja ""le marco la cancha"" jajajajajá. Alberto Fernández apenas puede ir a mear sin permiso de sus amos, mirá si va a marcarle la cancha a alguien. Ni Dylan lo respeta. Jajaja"
38,Alberto Fernández: “Para volver a la presencialidad es necesario que todos estén vacunados” https://t.co/5Xu0tSIBAQ
39,"Alberto Fernández y la educación, según pasan los años - https://t.co/54OzUJvBz2

Dice Alberto: si alguien se preocupó por la educación de niños y adolescentes, ése soy yo. Andá!"
40,Alberto Fernández (Alverso) cada día se parece más a una marmota ( con disculpas a las marmotas).
41,Por qué Alberto Fernández no puede repetir lo que hizo Néstor Kirchner cuando no le pagó al FMI https://t.co/E2k6Hi7MMC https://t.co/klZcIYIH0J
42,"Alberto Fernández admitió diferencias con el FMI por el ajuste: ""Tenemos derecho a crecer y a cómo queremos hacerlo"" https://t.co/QHxjFCC9Go"
43,"@rindart Ramón empezaste la nota diciendo que la imagen de Alberto Fernández subió, poco, pero subió. Y terminaste diciendo que estaba en descenso."
44,“Alberto Fernández reconoció junto a su jefe de Gabinete que no hay ningún acuerdo en las negociaciones.” https://t.co/wUUBAiGHB4 #Argentina 🔵🇦🇷 por @marceloduclos
45,"#Politica 

La vicepresidenta amenaza con romper el Frente de Todos si el Gobierno acepta el ajuste en 2025. En el Gobierno dicen que están cerca del acuerdo con el FMI pero si no se hace culparán a EE.UU.

✍ Por: @marianoobarrio 

https://t.co/QoyIXWyKfs"
46,"el cui en su viaje a rusia, hara escala en barbados, hablame de cuentas offshore ilegales xD
https://t.co/nvoqGymjA6"
47,"Después de varias semanas con cortes de luz, Alberto Fernández se reúne con el Secretario de Energía https://t.co/HqPY9j75wx https://t.co/A0bwqn3u4n"
48,"@jaimeperczyk @alferdez @JuanManzurOK @SandraMTirado @LucasGhi Para la próxima visita x zona oeste espero invitación!! Sr Alberto Fernández, gracias"
49,"Como te dice lo uno te dice lo otro...pero la única verdad es la realidad; se militó por casi dos años el cierre de escuelas...he aquí las consecuencias...Alberto Fernández y la educación, según pasan los años - https://t.co/gMvsuZqpfR"
50,Alberto Fernández es simplemente un operador político; puede salir mañana y decir que la cuarentena fue una joda sin ponerse colorado y seguir con otro tema; Kicillof y su mascota Kreplak son covidianos y tiranos de corazón.
51,Censo Nacional 2020 será en mayo con nuevo feriado https://t.co/wbAWZGz8qT
52,"El presidente Alberto Fernández se reunirá este martes con el secretario de Energía, Darío Martínez

⬇Más⬇

https://t.co/WcHew9aGz4"
53,🟠  Alberto Fernández quiere que Mia Mottley lo contagie ya https://t.co/l3Kgg5xOMq #noticias
54,"Comenzo la #RebelionFiscal
y el resto del pais, que espera?

ELLOS DEBEN dar explicaciones en q gastan nuestra plata

Alberto fernandez Espert
https://t.co/LH4AaK4FQl"
55,"💉 Alberto Fernández lanza plan de vacunación 2022 de cara al ciclo lectivo

El presidente lanzó el plan de vacunación para docentes y alumnos, teniendo en miras el inicio del ciclo lectivo 2022.

👉 Enterate más acá:
https://t.co/4FvS9ZCuDV"
56,".@alferdez suma una escala oficial en Barbados a su regreso de Rusia y China

https://t.co/5VLSM3smzj"
57,"Alberto Fernández: ""Ahora el FMI quiere ponernos de rodillas difundiendo un índice de transparencia. La transparencia es transparente, no se puede medir en índices"""
58,"@Lautiroman1995 Alberto Fernández de Kirchner va a llevar su apoyo incondicional al autócrata Putin y dejá pedaleando al Sarasa Guzmán ""negociando"" con el FMI, con libreto de Kretina"
59,"@fernandezdiazok Alberto Fernández un presidente sometido al poder absoluto de La Cámpora y Cristina Kirchner, no puede ejercer el libre ejercicio de sus derechos. Así lo veo yo. Luana y su novio es la mas clara evidencia"
60,La gira de @alferdez por China y Rusia sumó un nuevo destino: @Kicillofok participará de la comitiva oficial https://t.co/wiGPCSJcg2
61,"el remisero okupa, alias alberto fernandez se fue a rusia.
Pedira un prestamo a tasas desorbitantes para no negociar con el FMI con hizo el neshtor con Chavez?
que queda para regalarles a cambio? La patagonia? Los glaciares? Las cataratas? Humahuaca?

#ElPeorGobiernoDeLaHistoria"
62,Alberto Fernández defendió su postura ante los ajustes que reclama el FMI https://t.co/jQoLetqDiF Vía @RuralNetOficial
63,"En un rato sale Alberto Fernández a condenarlo, por las dudas 😂🤣 https://t.co/CcDcVHe9tF"
64,"Alberto Fernández, que hiciste ahora?????????"
65,"Por qué A.F. no puede repetir lo que hizo NK cuando no le pagó al FMI para forzar un acuerdo ? cualquier decision que adopte esta semana el Gobierno, implicará asomarse a la posibilidad de una nueva corrida cambiaria. 
@TwistaresJxC https://t.co/3L2gl2sjTt"
66,"Seguro castigan a las privatizadas con alguna multita para que no se enojen ,Cortes de luz: Alberto Fernández se reúne con el secretario de Energía | Infocielo https://t.co/ZAIDIatJew"
